district_name,label
ابو الريش,0
ابو سمبل,0
ادفو,0
البصيلية,0
الرديسية,0
السباعية,0
دراو,0
صحاري,0
كلابشة,0
كوم امبو,0
مدينة اسوان,0
نصر النوبة,0
• جميع مناطق أسوان,0
أبو تيج,0
ابنوب,0
اسيوط الجديدة,0
البداري,0
الغنايم,0
الفتح,0
القوصية,0
ديروط,0
ساحل سليم,0
صدفا,0
مدينة اسيوط,0
منفوط,0
• جميع مناطق أسيوط,0
أرمنت,0
إسنا,0
البياضية,0
الزينية,0
الطود,0
القرنه,0
مدينة الأقصر,0
• جميع مناطق الأقصر,0
أبو تلات,0
أبو قير,0
الإسكندرية,0
الابراهيمية,0
الجمرك,0
الحضرة,0
الساحل الشمالي,0
السرايا,0
السيوف,0
الظاهرية,0
العامرية,0
العجمي,0
العصافرة,0
العطارين,0
العلمين,0
العوايد,0
اللبان,0
المعمورة,0
المكس,0
المنتزة,0
المندرة,0
النخيل,0
النزهة,0
الهانوفيل,0
الورديان,0
باكوس,0
بحري,0
برج العرب,0
بولكي,0
ثروت,0
جليم,0
رشدي,0
زيزينيا,0
سابا باشا,0
سان ستيفانو,0
سبورتج,0
ستانلي,0
سموحة,0
سيدي بشر,0
سيدي جابر,0
شدس,0
فلمنج,0
فيكتوريا,0
كامب شيزار,0
كفر عبدو,0
كليوباترا,0
لوران,0
محرم بك,0
محطة الرمل,0
ميامي,0
• جميع مناطق الإسكندرية,0
أبو صوير,0
التل الكبير,0
القصاصين,0
القنطرة شرق,0
القنطرة غرب,0
فايد,0
مدينة الإسماعيلية,0
• جميع مناطق الإسماعيلية,0
الجونة,0
الغردقة,0
القصير,0
برنيس,0
رأس غارب,0
سفاجا,0
سهل حشيش,0
شلاتين,0
مدينة حلايب,0
مرسى علم,0
• جميع مناطق البحر الأحمر,0
أبو المطامير,0
أبو حمص,0
إدكو,0
إيتاي البارود,0
الدلنجات,0
الرحمانية,0
المحمودية,0
النوبارية,0
حوش عيسى,0
دمنهور,0
رشيد,0
شبراخيت,0
كفر الدوار,0
كوم حمادة,0
مركز بدر,0
وادي النطرون,0
• جميع مناطق البحيرة,0
6 اكتوبر,0
أبو رواش,0
أرض اللواء,0
أوسيم,0
إمبابة,0
البدرشين,0
البراجيل,0
الحوامدية,0
الدقي,0
الرماية,0
الشيخ زايد,0
الصحفيين,0
الصف,0
العجوزة,0
العزيزية,0
العمرانية,0
العياط,0
الكيت كات,0
المريوطية,0
المنصورية,0
المنيب,0
المهندسين,0
الهرم,0
الوراق,0
بشتيل,0
بولاق الدكرور,0
ترسا,0
جزيرة الدهب,0
حدائق 6 أكتوبر,0
حدائق الأهرام,0
حي الجيزة,0
دهشور,0
سفط,0
سوميد,0
فيصل,0
كرداسة,0
كفر طهرمس,0
مركز الجيزة,0
ميت عقبة,0
ناهيا,0
• جميع مناطق الجيزة,0
أجا,0
أخطاب,0
الجمالية,0
السنبلاوي,0
المطرية,0
المنزلة,0
المنصورة,0
بلقاس,0
بنروه,0
بني عبيد,0
تمى الامديد,0
جمصة,0
دكرنس,0
شربين,0
طلخا,0
مدينة النصر,0
ميت سلسيل,0
ميت غمر,0
• جميع مناطق الدقهلية,0
العين السخنة,0
حي الأربعين,0
حي الجناين,0
حي السويس,0
حي عتاقة,0
فيصل,0
• جميع مناطق السويس,0
أبو حماد,0
أبو كبير,0
أولاد صقر,0
الإبراهيمية,0
الحسينية,0
الزقازيق,0
الصالحية الجديدة,0
العاشر من رمضان,0
القرين,0
القنايات,0
بلبيس,0
ديرب نجم,0
فاقوس,0
كفر صقر,0
مشتول السوق,0
منيا القمح,0
ههيا,0
• جميع مناطق الشرقية,0
السنطة,0
المحلة الكبرى,0
بسيون,0
زفتى,0
سمنود,0
طنطا,0
قطور,0
كفر الزيات,0
• جميع مناطق الغربية,0
أطسا,0
إبشواي,0
الفيوم الجديدة,0
سنورس,0
طامية,0
مدينة الفيوم,0
يوسف الصديق,0
• جميع مناطق الفيوم,0
التجمع الأول,1
التجمع الخامس,1
الحلمية,1
الزمالك,1
الزيتون,1
الساحل,1
السيدة زينب,1
السيدة عائشة,1
العاشر من رمضان,1
العاصمة الادارية الجديدة,1
العباسية,1
العبور,1
القاهرة الجديدة,1
المرج,1
المطرية,1
المعادي,1
المقطم,1
المنيل,1
الموسكي,1
النزهة,1
الوايلي,1
باب الشعرية,1
حدائق القبة,1
حدائق حلوان,1
حلوان,1
دار السلام,1
رمسيس,1
روض الفرج,1
روكسي,1
زهراء المعادي,1
شبرا,1
عابدين,1
عزبة النخل,1
عين شمس,1
قصر النيل,1
مدينة 15 مايو,1
مدينة الرحاب,1
مدينة السلام,1
مدينة الشروق,1
مدينة بدر,1
مدينة نصر,1
مدينتي,1
مصر الجديدة,1
مصر القديمة,1
وسط القاهرة,1
• جميع مناطق القاهرة,1
الخانكة,0
الخصوص,0
العبور,0
القناطر الخيرية,0
بنها,0
بهتيم,0
زاوية النجار,0
شبرا الخيمة,0
شبين القناطر,0
طوخ,0
قليوب,0
قها,0
كفر شكر,0
• جميع مناطق القليوبية,0
أشمون,0
الباجور,0
السادات,0
الشهداء,0
بركة السبع,0
تلا,0
سرس الليان,0
شبين الكوم,0
قويسنا,0
منوف,0
ميت العز,0
• جميع مناطق المنوفية,0
أبو قرقاص,0
العدوة,0
المنيا الجديدة,0
بني مزار,0
دير مواس,0
سمالوط,0
مدينة المنيا,0
مطاي,0
مغاغة,0
ملوي,0
• جميع مناطق المنيا,0
الخارجة,0
الداخلة,0
الفرافرة,0
باريس,0
بلاط,0
موط,0
• جميع مناطق الوادي الجديد,0
إهناسيا,0
الفشن,0
الواسطي,0
ببا,0
بني سويف الجديدة,0
سمسطا,0
مدينة بني سويف,0
ناصر,0
• جميع مناطق بني سويف,0
حي الجنوب,0
حي الزهور,0
حي الشرق,0
حي الضواحي,0
حي العرب,0
حي مناخ,0
مدينة بور سعيد,0
مدينة بور فؤاد,0
• جميع مناطق بور سعيد,0
أبو رديس,0
أبو زنيمة,0
الترابين,0
دهب,0
رأس سدر,0
سانت كاترين,0
شرم الشيخ,0
طابا,0
طور سيناء,0
نويبع,0
• جميع مناطق جنوب سيناء,0
الباز,0
الروضة,0
الزرقا,0
السرو,0
النواصرية,0
دمياط الجديدة,0
رأس البر,0
عزبة البرج,0
فارسكور,0
كحيل,0
كفر البطيخ,0
كفر سعد,0
مدينة دمياط,0
ميت أبو غالب,0
• جميع مناطق دمياط,0
أخميم,0
البلينا,0
العسيرات,0
المراغة,0
المنشاة,0
جرجا,0
جهينة,0
دار السلام,0
ساقتلة,0
طما,0
طهطا,0
مدينة سوهاج,0
• جميع مناطق سوهاج,0
الحسنة,0
الشيخ زويد,0
العريش,0
بئر العبد,0
رفح,0
نخل,0
• جميع مناطق شمال سيناء,0
أبو تشت,0
الوقف,0
شنا,0
فرشوط,0
قفط,0
قوص,0
مدنية قنا,0
نجع حمادي,0
نقادة,0
• جميع مناطق قنا,0
البرلس,0
الحامول,0
الرياض,0
بلطيم,0
بيلا,0
دسوق,0
سيدي سالم,0
فوه,0
قلين,0
مدنية كفر الشيخ,0
مسير,0
مطوبس,0
• جميع مناطق كفر الشيخ,0
الحمام,0
الساحل الشمالي,0
السلوم,0
الضبعة,0
العلمين,0
النجيلة,0
سيدي براني,0
سيوة,0
مارينا العلمين,0
مرسى مطروح,0
• جميع مناطق مطروح,0
التجمع الاول,1
الجمالية,1
التبين,1
خمسة عشر مايو,1
البساتين,1
ثان القاهره الجديده,1
المعادى,1
الموسكى,1
بولاق,1
الشروق,1
طره,1
أول القاهره الجديده,1
مدينه بدر,1
الوايلى,1
أول السلام,1
الدرب الاحمر,1
الاميرية,1
الازبكية,1
القطامية,1
الخليفة,1
المعصرة,1
ثالث القاهره الجديده,1
الزاوية الحمراء,1
الظاهر,1
ثان السلام,1
الشرابية,1
أول مدينة نصر,1
منشأة ناصر,1
ثان مدينة نصر,1
